GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Thymeleaf Layout Dialect,nz.net.ultraq.thymeleaf.expressions,ExpressionProcessor,0,71,1,3,0,15,1,7,0,6
Thymeleaf Layout Dialect,nz.net.ultraq.thymeleaf.models.extensions,ChildModelIterator,4,36,0,2,1,8,1,4,1,3
Thymeleaf Layout Dialect,nz.net.ultraq.thymeleaf.decorators.html,HtmlDocumentDecorator,0,160,1,27,0,27,1,19,0,6
Thymeleaf Layout Dialect,nz.net.ultraq.thymeleaf.decorators.html,HtmlBodyDecorator,0,42,0,10,0,7,0,7,0,2
Thymeleaf Layout Dialect,nz.net.ultraq.thymeleaf.decorators.html,HtmlTitleDecorator,0,166,1,17,0,39,1,13,0,5
Thymeleaf Layout Dialect,nz.net.ultraq.thymeleaf.decorators.html,HtmlHeadDecorator..Lambda.new ITemplateEventPredicate() {...},0,13,0,0,0,0,0,4,0,4
Thymeleaf Layout Dialect,nz.net.ultraq.thymeleaf.decorators.html,HtmlHeadDecorator,0,121,0,22,0,26,0,15,0,4
Thymeleaf Layout Dialect,nz.net.ultraq.thymeleaf.decorators.html,HtmlDocumentDecorator..Lambda.new ITemplateEventPredicate() {...},0,13,0,0,0,0,0,4,0,4
Thymeleaf Layout Dialect,nz.net.ultraq.thymeleaf.decorators.html,HtmlDocumentDecorator..Lambda.new ITemplateEventPredicate() {...},0,13,0,0,0,0,0,4,0,4
Thymeleaf Layout Dialect,nz.net.ultraq.thymeleaf.decorators.html,HtmlDocumentDecorator..Lambda.new ITemplateEventPredicate() {...},0,13,0,0,0,0,0,4,0,4
Thymeleaf Layout Dialect,nz.net.ultraq.thymeleaf.decorators.html,HtmlDocumentDecorator..Lambda.new ITemplateEventPredicate() {...},0,13,0,0,0,0,0,4,0,4
Thymeleaf Layout Dialect,nz.net.ultraq.thymeleaf.fragments,FragmentParameterNamesExtractor,0,74,0,6,0,12,0,6,0,3
Thymeleaf Layout Dialect,nz.net.ultraq.thymeleaf.fragments,FragmentMap,0,32,0,4,0,7,0,5,0,3
Thymeleaf Layout Dialect,nz.net.ultraq.thymeleaf.fragments,FragmentProcessor,9,78,3,7,2,16,2,6,0,3
Thymeleaf Layout Dialect,nz.net.ultraq.thymeleaf.fragments,FragmentFinder,0,54,0,6,0,16,0,5,0,2
Thymeleaf Layout Dialect,nz.net.ultraq.thymeleaf.internal,Extensions,97,682,44,104,22,161,42,72,4,36
